Target,Table,Dataset,Theme,Subtheme,Tablequeryname,Indicatorcode,DecimalprecisionQuerylevel,IndicatorLabelEN,GlossaryDefinitionConcept1,GlossaryDefinitionConcept2,REGIONALSUMSTATUS
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q1.M.LPIA,,"Gross attendance ratio for tertiary education, poorest quintile, male, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q2.LPIA,,"Gross attendance ratio for tertiary education, second quintile, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q2.F.LPIA,,"Gross attendance ratio for tertiary education, second quintile, female, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q2.M.LPIA,,"Gross attendance ratio for tertiary education, second quintile, male, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q3.LPIA,,"Gross attendance ratio for tertiary education, middle quintile, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q3.F.LPIA,,"Gross attendance ratio for tertiary education, middle quintile, female, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q3.M.LPIA,,"Gross attendance ratio for tertiary education, middle quintile, male, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q4.LPIA,,"Gross attendance ratio for tertiary education, fourth quintile, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q4.F.LPIA,,"Gross attendance ratio for tertiary education, fourth quintile, female, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q4.M.LPIA,,"Gross attendance ratio for tertiary education, fourth quintile, male, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q5.LPIA,,"Gross attendance ratio for tertiary education, richest quintile, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q5.F.LPIA,,"Gross attendance ratio for tertiary education, richest quintile, female, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.Q5.M.LPIA,,"Gross attendance ratio for tertiary education, richest quintile, male, adjusted location parity index (LPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.WPIA,,"Gross attendance ratio for tertiary education, rural, adjusted wealth parity index (WPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.F.WPIA,,"Gross attendance ratio for tertiary education, rural, female, adjusted wealth parity index (WPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.M.WPIA,,"Gross attendance ratio for tertiary education, rural, male, adjusted wealth parity index (WPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.Q1.GPIA,,"Gross attendance ratio for tertiary education, rural, poorest quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.Q2.GPIA,,"Gross attendance ratio for tertiary education, rural, second quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.Q3.GPIA,,"Gross attendance ratio for tertiary education, rural, middle quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.Q4.GPIA,,"Gross attendance ratio for tertiary education, rural, fourth quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.RUR.Q5.GPIA,,"Gross attendance ratio for tertiary education, rural, richest quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.WPIA,,"Gross attendance ratio for tertiary education, urban, adjusted wealth parity index (WPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.F.WPIA,,"Gross attendance ratio for tertiary education, urban, female, adjusted wealth parity index (WPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.M.WPIA,,"Gross attendance ratio for tertiary education, urban, male, adjusted wealth parity index (WPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.Q1.GPIA,,"Gross attendance ratio for tertiary education, urban, poorest quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.Q2.GPIA,,"Gross attendance ratio for tertiary education, urban, second quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.Q3.GPIA,,"Gross attendance ratio for tertiary education, urban, middle quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.Q4.GPIA,,"Gross attendance ratio for tertiary education, urban, fourth quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.3.2 Gross attendance ratio for tertiary education by sex, location and wealth quintile ( household survey data )",GAR.5T8.URB.Q5.GPIA,,"Gross attendance ratio for tertiary education, urban, richest quintile, adjusted gender parity index (GPIA)",Gross attendance ratio ,"Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",4.3.3 Participation rate in technical and vocational programmes (15- to 24-year-olds),EV1524P.2T5.V.GPIA,,"Proportion of 15-24 year-olds enrolled in vocational education, adjusted gender parity index (GPIA)","Participation rate in technical and vocational programmes (15- to 24-year-olds), by sex","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLCOPI.GPIA,,"Proportion of youth and adults who have copied or moved a file or folder, adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLCONNEC.GPIA,,"Proportion of youth and adults who have connected and installed new devices, adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLCREAT.GPIA,,"Proportion of youth and adults who have created electronic presentations with presentation software, adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLDUPLIC.GPIA,,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLATTACH.GPIA,,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLFORMULA.GPIA,,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLSOFTWARE.GPIA,,"Proportion of youth and adults who have found, downloaded, installed and configured software, adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
4.5,4.4.3,Goal 4,"Target 4.5: By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",ICTSKILLTRANSFERFILE.GPIA,,"Proportion of youth and adults who have Transferred files between a computer and other devices, adjusted gender parity index (GPIA)","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Parity indices (female/male, rural/urban, bottom/top wealth quintiles and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
